name,Piscinas,Habitantes,Piscinas por cada 100 habitantes
Ajalvir (Madrid),72,4559,1.58
Alameda del Valle (Madrid),17,195,8.72
Álamo, El (Madrid),1852,9353,19.8
Alcalá de Henares (Madrid),1096,193751,0.57
Alcobendas (Madrid),1997,116037,1.72
Alcorcón (Madrid),471,169502,0.28
Aldea del Fresno (Madrid),931,2698,34.51
Algete (Madrid),1286,20473,6.28
Alpedrete (Madrid),1099,14364,7.65
Ambite (Madrid),161,601,26.79
Anchuelo (Madrid),61,1272,4.8
Aranjuez (Madrid),910,59037,1.54
Arganda del Rey (Madrid),1336,54554,2.45
Arroyomolinos (Madrid),2007,30052,6.68
Atazar, El (Madrid),2,93,2.15
Batres (Madrid),638,1638,38.95
Becerril de la Sierra (Madrid),902,5564,16.21
Belmonte de Tajo (Madrid),57,1627,3.5
Berzosa del Lozoya (Madrid),6,198,3.03
Berrueco, El (Madrid),93,741,12.55
Boadilla del Monte (Madrid),3599,52626,6.84
Boalo, El (Madrid),1004,7399,13.57
Braojos (Madrid),9,205,4.39
Brea de Tajo (Madrid),83,525,15.81
Brunete (Madrid),784,10596,7.4
Buitrago del Lozoya (Madrid),41,1875,2.19
Bustarviejo (Madrid),233,2486,9.37
Cabanillas de la Sierra (Madrid),226,712,31.74
Cabrera, La (Madrid),341,2613,13.05
Cadalso de los Vidrios (Madrid),408,3049,13.38
Camarma de Esteruelas (Madrid),675,7226,9.34
Campo Real (Madrid),335,6075,5.51
Canencia (Madrid),30,423,7.09
Carabaña (Madrid),323,1905,16.96
Casarrubuelos (Madrid),203,3707,5.48
Cenicientos (Madrid),127,1980,6.41
Cercedilla (Madrid),634,6948,9.12
Cervera de Buitrago (Madrid),3,149,2.01
Ciempozuelos (Madrid),496,24087,2.06
Cobeña (Madrid),457,7280,6.28
Colmenar del Arroyo (Madrid),315,1685,18.69
Colmenar de Oreja (Madrid),1662,7902,21.03
Colmenarejo (Madrid),732,9124,8.02
Colmenar Viejo (Madrid),1178,49498,2.38
Collado Mediano (Madrid),629,6781,9.28
Collado Villalba (Madrid),1075,63074,1.7
Corpa (Madrid),24,697,3.44
Coslada (Madrid),956,81860,1.17
Cubas de la Sagra (Madrid),837,6310,13.26
Chapinería (Madrid),289,2240,12.9
Chinchón (Madrid),972,5239,18.55
Daganzo de Arriba (Madrid),302,10061,3
Escorial, El (Madrid),1488,15842,9.39
Estremera (Madrid),327,1236,26.46
Fresnedillas de la Oliva (Madrid),136,1554,8.75
Fresno de Torote (Madrid),597,2181,27.37
Fuenlabrada (Madrid),763,193586,0.39
Fuente el Saz de Jarama (Madrid),678,6541,10.37
Fuentidueña de Tajo (Madrid),358,1985,18.04
Galapagar (Madrid),2579,33379,7.73
Garganta de los Montes (Madrid),76,348,21.84
Gargantilla del Lozoya y Pinilla de Buitrago (Madrid),85,318,26.73
Gascones (Madrid),8,188,4.26
Getafe (Madrid),905,180747,0.5
Griñón (Madrid),1425,10178,14
Guadalix de la Sierra (Madrid),500,6119,8.17
Guadarrama (Madrid),1087,15785,6.89
Horcajo de la Sierra-Aoslos (Madrid),7,148,4.73
Horcajuelo de la Sierra (Madrid),1,89,1.12
Hoyo de Manzanares (Madrid),821,8222,9.99
Humanes de Madrid (Madrid),399,19587,2.04
Leganés (Madrid),892,188425,0.47
Loeches (Madrid),406,8673,4.68
Lozoya (Madrid),79,559,14.13
Madarcos (Madrid),1,47,2.13
Madrid (Madrid),13774,3223334,0.43
Majadahonda (Madrid),1700,71785,2.37
Manzanares el Real (Madrid),1173,8597,13.64
Meco (Madrid),856,13959,6.13
Mejorada del Campo (Madrid),684,23241,2.94
Miraflores de la Sierra (Madrid),841,5897,14.26
Molar, El (Madrid),520,8666,6
Molinos, Los (Madrid),627,4328,14.49
Montejo de la Sierra (Madrid),8,363,2.2
Moraleja de Enmedio (Madrid),494,5021,9.84
Moralzarzal (Madrid),1028,12697,8.1
Morata de Tajuña (Madrid),314,7553,4.16
Móstoles (Madrid),1287,207095,0.62
Navacerrada (Madrid),370,2911,12.71
Navalafuente (Madrid),315,1397,22.55
Navalagamella (Madrid),222,2601,8.54
Navalcarnero (Madrid),1103,28305,3.9
Navarredonda y San Mamés (Madrid),22,122,18.03
Navas del Rey (Madrid),287,2819,10.18
Nuevo Baztán (Madrid),1819,6154,29.56
Olmeda de las Fuentes (Madrid),36,346,10.4
Orusco de Tajuña (Madrid),225,1202,18.72
Paracuellos de Jarama (Madrid),1656,24521,6.75
Parla (Madrid),951,128256,0.74
Patones (Madrid),35,523,6.69
Pedrezuela (Madrid),290,5746,5.05
Pelayos de la Presa (Madrid),755,2475,30.51
Perales de Tajuña (Madrid),260,2831,9.18
Pezuela de las Torres (Madrid),188,821,22.9
Pinilla del Valle (Madrid),5,187,2.67
Pinto (Madrid),351,51541,0.68
Piñuécar-Gandullas (Madrid),23,171,13.45
Pozuelo de Alarcón (Madrid),6359,86172,7.38
Pozuelo del Rey (Madrid),86,1120,7.68
Prádena del Rincón (Madrid),5,117,4.27
Quijorna (Madrid),465,3357,13.85
Rascafría (Madrid),88,1663,5.29
Redueña (Madrid),36,247,14.57
Ribatejada (Madrid),316,706,44.76
Rivas-Vaciamadrid (Madrid),5227,85893,6.09
Robledillo de la Jara (Madrid),10,87,11.49
Robledo de Chavela (Madrid),731,4159,17.58
Robregordo (Madrid),2,48,4.17
Rozas de Madrid, Las (Madrid),4438,95550,4.64
Rozas de Puerto Real (Madrid),87,527,16.51
San Agustín del Guadalix (Madrid),509,13273,3.83
San Fernando de Henares (Madrid),422,39466,1.07
San Lorenzo de El Escorial (Madrid),680,18088,3.76
San Martín de la Vega (Madrid),616,18784,3.28
San Martín de Valdeiglesias (Madrid),736,8318,8.85
San Sebastián de los Reyes (Madrid),1571,87724,1.79
Santa María de la Alameda (Madrid),296,1182,25.04
Santorcaz (Madrid),107,850,12.59
Santos de la Humosa, Los (Madrid),109,2542,4.29
Serna del Monte, La (Madrid),7,74,9.46
Serranillos del Valle (Madrid),867,4066,21.32
Sevilla la Nueva (Madrid),886,9095,9.74
Somosierra (Madrid),2,80,2.5
Soto del Real (Madrid),1210,8694,13.92
Talamanca de Jarama (Madrid),274,3725,7.36
Tielmes (Madrid),87,2604,3.34
Titulcia (Madrid),100,1304,7.67
Torrejón de Ardoz (Madrid),459,129729,0.35
Torrejón de la Calzada (Madrid),642,8582,7.48
Torrejón de Velasco (Madrid),319,4298,7.42
Torrelaguna (Madrid),168,4724,3.56
Torrelodones (Madrid),2542,23361,10.88
Torremocha de Jarama (Madrid),123,975,12.62
Torres de la Alameda (Madrid),325,7760,4.19
Valdaracete (Madrid),43,626,6.87
Valdeavero (Madrid),308,1510,20.4
Valdelaguna (Madrid),150,903,16.61
Valdemanco (Madrid),122,927,13.16
Valdemaqueda (Madrid),184,761,24.18
Valdemorillo (Madrid),2727,12280,22.21
Valdemoro (Madrid),1025,74745,1.37
Valdeolmos-Alalpardo (Madrid),320,4039,7.92
Valdepiélagos (Madrid),38,574,6.62
Valdetorres de Jarama (Madrid),815,4384,18.59
Valdilecha (Madrid),120,2840,4.23
Valverde de Alcalá (Madrid),64,432,14.81
Velilla de San Antonio (Madrid),372,12193,3.05
Vellón, El (Madrid),87,1942,4.48
Venturada (Madrid),351,2081,16.87
Villaconejos (Madrid),67,3363,1.99
Villa del Prado (Madrid),1175,6409,18.33
Villalbilla (Madrid),1451,13421,10.81
Villamanrique de Tajo (Madrid),146,699,20.89
Villamanta (Madrid),442,2501,17.67
Villamantilla (Madrid),161,1420,11.34
Villanueva de la Cañada (Madrid),2634,21000,12.54
Villanueva del Pardillo (Madrid),565,17127,3.3
Villanueva de Perales (Madrid),338,1547,21.85
Villar del Olmo (Madrid),476,1967,24.2
Villarejo de Salvanés (Madrid),289,7291,3.96
Villaviciosa de Odón (Madrid),3167,27596,11.48
Villavieja del Lozoya (Madrid),74,258,28.68
Zarzalejo (Madrid),130,1620,8.02
Lozoyuela-Navas-Sieteiglesias (Madrid),169,1266,13.35
Puentes Viejas (Madrid),41,642,6.39
Tres Cantos (Madrid),459,46750,0.98
Alameda (Málaga),68,5366,1.27
Alcaucín (Málaga),806,2239,36
Alfarnate (Málaga),6,1105,0.54
Alfarnatejo (Málaga),34,394,8.63
Algarrobo (Málaga),115,6367,1.81
Algatocín (Málaga),49,778,6.3
Alhaurín de la Torre (Málaga),4316,39911,10.81
Alhaurín el Grande (Málaga),2754,24123,11.42
Almáchar (Málaga),113,1802,6.27
Almargen (Málaga),25,1984,1.26
Almogía (Málaga),279,3770,7.4
Álora (Málaga),878,12951,6.78
Alozaina (Málaga),124,2015,6.15
Alpandeire (Málaga),9,252,3.57
Antequera (Málaga),1348,41154,3.28
Árchez (Málaga),121,391,30.95
Archidona (Málaga),479,8288,5.78
Ardales (Málaga),106,2493,4.25
Arenas (Málaga),405,1177,34.41
Arriate (Málaga),308,4147,7.43
Atajate (Málaga),7,169,4.14
Benadalid (Málaga),10,225,4.44
Benahavís (Málaga),2000,7989,25.03
Benalauría (Málaga),23,443,5.19
Benalmádena (Málaga),3271,67746,4.83
Benamargosa (Málaga),86,1496,5.75
Benamocarra (Málaga),72,2999,2.4
Benaoján (Málaga),52,1488,3.49
Benarrabá (Málaga),13,458,2.84
Borge, El (Málaga),87,933,9.32
Burgo, El (Málaga),67,1823,3.68
Campillos (Málaga),245,8517,2.88
Canillas de Aceituno (Málaga),289,1620,17.84
Canillas de Albaida (Málaga),201,732,27.46
Cañete la Real (Málaga),59,1691,3.49
Carratraca (Málaga),84,748,11.23
Cartajima (Málaga),12,247,4.86
Cártama (Málaga),1533,25758,5.95
Casabermeja (Málaga),214,3507,6.1
Casarabonela (Málaga),276,2510,11
Casares (Málaga),488,6121,7.97
Coín (Málaga),2299,21716,10.59
Colmenar (Málaga),218,3392,6.43
Comares (Málaga),237,1323,17.91
Cómpeta (Málaga),868,3745,23.18
Cortes de la Frontera (Málaga),88,3181,2.77
Cuevas Bajas (Málaga),21,1392,1.51
Cuevas del Becerro (Málaga),29,1595,1.82
Cuevas de San Marcos (Málaga),136,3671,3.7
Cútar (Málaga),70,614,11.4
Estepona (Málaga),3809,67012,5.68
Faraján (Málaga),9,248,3.63
Frigiliana (Málaga),999,3086,32.37
Fuengirola (Málaga),1154,75396,1.53
Fuente de Piedra (Málaga),193,2554,7.56
Gaucín (Málaga),234,1573,14.88
Genalguacil (Málaga),21,393,5.34
Guaro (Málaga),256,2182,11.73
Humilladero (Málaga),102,3310,3.08
Igualeja (Málaga),13,762,1.71
Istán (Málaga),180,1458,12.35
Iznate (Málaga),60,863,6.95
Jimera de Líbar (Málaga),32,376,8.51
Jubrique (Málaga),37,559,6.62
Júzcar (Málaga),18,225,8
Macharaviaya (Málaga),39,442,8.82
Málaga (Málaga),5688,571026,1
Manilva (Málaga),904,14977,6.04
Marbella (Málaga),10221,141463,7.23
Mijas (Málaga),6827,80630,8.47
Moclinejo (Málaga),75,1230,6.1
Mollina (Málaga),323,5020,6.43
Monda (Málaga),324,2523,12.84
Montejaque (Málaga),50,970,5.15
Nerja (Málaga),1538,21061,7.3
Ojén (Málaga),479,3568,13.42
Parauta (Málaga),6,253,2.37
Periana (Málaga),292,3068,9.52
Pizarra (Málaga),513,9118,5.63
Pujerra (Málaga),4,294,1.36
Rincón de la Victoria (Málaga),1754,46093,3.81
Riogordo (Málaga),167,2701,6.18
Ronda (Málaga),1552,33978,4.57
Salares (Málaga),25,174,14.37
Sayalonga (Málaga),413,1658,24.91
Sedella (Málaga),140,606,23.1
Sierra de Yeguas (Málaga),78,3356,2.32
Teba (Málaga),102,3818,2.67
Tolox (Málaga),192,2083,9.22
Torrox (Málaga),1468,16465,8.92
Totalán (Málaga),25,715,3.5
Valle de Abdalajís (Málaga),58,2568,2.26
Vélez-Málaga (Málaga),2499,80817,3.09
Villanueva de Algaidas (Málaga),139,4218,3.3
Villanueva del Rosario (Málaga),96,3373,2.85
Villanueva del Trabuco (Málaga),85,5300,1.6
Villanueva de Tapia (Málaga),47,1490,3.15
Viñuela (Málaga),557,2020,27.57
Yunquera (Málaga),202,2880,7.01
Torremolinos (Málaga),1228,68262,1.8
Villanueva de la Concepción (Málaga),94,3288,2.86
Montecorto (Málaga),31,585,5.3
Serrato (Málaga),12,477,2.52
Abanilla (Murcia),691,6063,11.4
Abarán (Murcia),429,13030,3.29
Águilas (Murcia),828,35031,2.36
Albudeite (Murcia),40,1361,2.94
Alcantarilla (Murcia),130,41622,0.31
Aledo (Murcia),180,1022,17.61
Alguazas (Murcia),234,9525,2.46
Alhama de Murcia (Murcia),927,21657,4.28
Archena (Murcia),219,19053,1.15
Beniel (Murcia),128,11274,1.14
Blanca (Murcia),278,6564,4.24
Bullas (Murcia),540,11547,4.68
Calasparra (Murcia),661,10165,6.5
Campos del Río (Murcia),134,2045,6.55
Caravaca de la Cruz (Murcia),546,25730,2.12
Cartagena (Murcia),3979,213943,1.86
Cehegín (Murcia),700,15022,4.66
Ceutí (Murcia),189,11565,1.63
Cieza (Murcia),1260,34889,3.61
Fortuna (Murcia),1025,10060,10.19
Fuente Álamo de Murcia (Murcia),1167,16184,7.21
Jumilla (Murcia),704,25547,2.76
Librilla (Murcia),546,5196,10.51
Lorca (Murcia),1707,93079,1.83
Lorquí (Murcia),241,7002,3.44
Mazarrón (Murcia),3803,31562,12.05
Molina de Segura (Murcia),3894,70964,5.49
Moratalla (Murcia),502,7954,6.31
Mula (Murcia),848,16790,5.05
Murcia (Murcia),8791,447182,1.97
Ojós (Murcia),71,500,14.2
Pliego (Murcia),186,3842,4.84
Puerto Lumbreras (Murcia),239,14981,1.6
Ricote (Murcia),117,1301,8.99
San Javier (Murcia),1587,31905,4.97
San Pedro del Pinatar (Murcia),584,25167,2.32
Torre-Pacheco (Murcia),1311,35614,3.68
Torres de Cotillas, Las (Murcia),1175,21375,5.5
Totana (Murcia),1559,31639,4.93
Ulea (Murcia),38,879,4.32
Unión, La (Murcia),90,19907,0.45
Villanueva del Río Segura (Murcia),108,2758,3.92
Yecla (Murcia),2107,34234,6.15
Santomera (Murcia),408,16105,2.53
Alcázares, Los (Murcia),547,15674,3.49
Allariz (Ourense),137,6110,2.24
Amoeiro (Ourense),31,2265,1.37
Arnoia, A (Ourense),16,995,1.61
Avión (Ourense),45,1806,2.49
Baltar (Ourense),5,968,0.52
Bande (Ourense),5,1591,0.31
Baños de Molgas (Ourense),26,1547,1.68
Barbadás (Ourense),235,10951,2.15
Barco de Valdeorras, O (Ourense),237,13463,1.76
Beade (Ourense),13,404,3.22
Beariz (Ourense),2,973,0.21
Blancos, Os (Ourense),6,809,0.74
Boborás (Ourense),35,2299,1.52
Bola, A (Ourense),20,1199,1.67
Bolo, O (Ourense),17,917,1.85
Calvos de Randín (Ourense),5,779,0.64
Carballeda de Valdeorras (Ourense),20,1574,1.27
Carballeda de Avia (Ourense),14,1317,1.06
Carballiño, O (Ourense),98,13939,0.7
Cartelle (Ourense),42,2643,1.59
Castrelo do Val (Ourense),37,1001,3.7
Castrelo de Miño (Ourense),31,1380,2.25
Castro Caldelas (Ourense),21,1224,1.72
Celanova (Ourense),65,5533,1.17
Cenlle (Ourense),40,1140,3.51
Coles (Ourense),247,3049,8.1
Cortegada (Ourense),37,1105,3.35
Cualedro (Ourense),10,1700,0.59
Chandrexa de Queixa (Ourense),4,466,0.86
Entrimo (Ourense),40,1166,3.43
Esgos (Ourense),46,1134,4.06
Xinzo de Limia (Ourense),106,9836,1.08
Gomesende (Ourense),6,750,0.8
Gudiña, A (Ourense),11,1308,0.84
Irixo, O (Ourense),12,1477,0.81
Xunqueira de Ambía (Ourense),16,1418,1.13
Xunqueira de Espadanedo (Ourense),12,741,1.62
Larouco (Ourense),10,455,2.2
Laza (Ourense),22,1287,1.71
Leiro (Ourense),54,1583,3.41
Lobeira (Ourense),10,807,1.24
Lobios (Ourense),26,1732,1.5
Maceda (Ourense),50,2890,1.73
Manzaneda (Ourense),8,890,0.9
Maside (Ourense),67,2767,2.42
Melón (Ourense),4,1227,0.33
Merca, A (Ourense),66,1911,3.45
Mezquita, A (Ourense),19,1039,1.83
Montederramo (Ourense),4,722,0.55
Monterrei (Ourense),51,2602,1.96
Muíños (Ourense),3,1486,0.2
Nogueira de Ramuín (Ourense),92,2011,4.57
Ourense (Ourense),830,105505,0.79
Paderne de Allariz (Ourense),60,1383,4.34
Padrenda (Ourense),58,1759,3.3
Parada de Sil (Ourense),1,564,0.18
Pereiro de Aguiar, O (Ourense),519,6254,8.3
Peroxa, A (Ourense),49,1871,2.62
Petín (Ourense),44,889,4.95
Piñor (Ourense),17,1140,1.49
Porqueira (Ourense),5,830,0.6
Pobra de Trives, A (Ourense),14,2118,0.66
Pontedeva (Ourense),15,554,2.71
Punxín (Ourense),38,699,5.44
Quintela de Leirado (Ourense),10,611,1.64
Rairiz de Veiga (Ourense),9,1282,0.7
Ramirás (Ourense),38,1540,2.47
Ribadavia (Ourense),34,5028,0.68
San Xoán de Río (Ourense),5,549,0.91
Riós (Ourense),8,1568,0.51
Rúa, A (Ourense),104,4359,2.39
Rubiá (Ourense),40,1448,2.76
San Amaro (Ourense),26,1091,2.38
San Cibrao das Viñas (Ourense),290,5249,5.52
San Cristovo de Cea (Ourense),41,2191,1.87
Sandiás (Ourense),22,1213,1.81
Sarreaus (Ourense),8,1189,0.67
Taboadela (Ourense),101,1443,7
Teixeira, A (Ourense),4,332,1.2
Toén (Ourense),122,2368,5.15
Trasmiras (Ourense),8,1288,0.62
Veiga, A (Ourense),3,904,0.33
Verea (Ourense),6,933,0.64
Verín (Ourense),389,13817,2.82
Viana do Bolo (Ourense),27,2929,0.92
Vilamarín (Ourense),134,1904,7.04
Vilamartín de Valdeorras (Ourense),49,1746,2.81
Vilar de Barrio (Ourense),18,1317,1.37
Vilar de Santos (Ourense),10,829,1.21
Vilardevós (Ourense),33,1912,1.73
Vilariño de Conso (Ourense),1,535,0.19
Allande (Asturias),2,1697,0.12
Aller (Asturias),11,10808,0.1
Amieva (Asturias),1,675,0.15
Avilés (Asturias),84,78715,0.11
Belmonte de Miranda (Asturias),5,1522,0.33
Bimenes (Asturias),4,1700,0.24
Boal (Asturias),4,1571,0.25
Cabrales (Asturias),4,2002,0.2
Cabranes (Asturias),4,1035,0.39
Candamo (Asturias),11,1985,0.55
Cangas del Narcea (Asturias),19,12579,0.15
Cangas de Onís (Asturias),27,6278,0.43
Caravia (Asturias),7,477,1.47
Carreño (Asturias),56,10444,0.54
Caso (Asturias),8,1553,0.52
Castrillón (Asturias),180,22464,0.8
Castropol (Asturias),24,3470,0.69
Coaña (Asturias),13,3336,0.39
Colunga (Asturias),37,3332,1.11
Corvera de Asturias (Asturias),45,15721,0.29
Cudillero (Asturias),90,5078,1.77
Degaña (Asturias),4,949,0.42
Franco, El (Asturias),17,3830,0.44
Gijón (Asturias),929,271843,0.34
Gozón (Asturias),146,10427,1.4
Grado (Asturias),34,9839,0.35
Grandas de Salime (Asturias),2,853,0.23
Ibias (Asturias),3,1301,0.23
Illano (Asturias),1,352,0.28
Illas (Asturias),7,1022,0.68
Langreo (Asturias),47,39984,0.12
Laviana (Asturias),41,13087,0.31
Lena (Asturias),9,11086,0.08
Valdés (Asturias),43,11734,0.37
Llanera (Asturias),101,13676,0.74
Llanes (Asturias),120,13639,0.88
Mieres (Asturias),26,38428,0.07
Morcín (Asturias),2,2631,0.08
Muros de Nalón (Asturias),23,1846,1.25
Nava (Asturias),41,5334,0.77
Navia (Asturias),21,8409,0.25
Noreña (Asturias),17,5167,0.33
Onís (Asturias),2,740,0.27
Oviedo (Asturias),323,220020,0.15
Parres (Asturias),32,5353,0.6
Peñamellera Baja (Asturias),2,1246,0.16
Piloña (Asturias),53,7101,0.75
Ponga (Asturias),2,598,0.33
Pravia (Asturias),25,8282,0.3
Proaza (Asturias),1,737,0.14
Quirós (Asturias),4,1194,0.34
Regueras, Las (Asturias),41,1865,2.2
Ribadedeva (Asturias),23,1758,1.31
Ribadesella (Asturias),73,5730,1.27
Ribera de Arriba (Asturias),6,1857,0.32
Riosa (Asturias),3,1933,0.16
Salas (Asturias),12,5084,0.24
San Martín del Rey Aurelio (Asturias),8,16283,0.05
San Martín de Oscos (Asturias),2,393,0.51
Santa Eulalia de Oscos (Asturias),4,453,0.88
Santo Adriano (Asturias),1,288,0.35
Sariego (Asturias),7,1254,0.56
Siero (Asturias),235,51662,0.45
Sobrescobio (Asturias),4,818,0.49
Somiedo (Asturias),3,1125,0.27
Soto del Barco (Asturias),36,3887,0.93
Tapia de Casariego (Asturias),15,3795,0.4
Taramundi (Asturias),1,646,0.15
Teverga (Asturias),6,1628,0.37
Tineo (Asturias),17,9543,0.18
Vegadeo (Asturias),12,3866,0.31
Villaviciosa (Asturias),260,14430,1.8
Villayón (Asturias),4,1248,0.32
Abarca de Campos (Palencia),1,42,2.38
Abia de las Torres (Palencia),1,164,0.61
Aguilar de Campoo (Palencia),16,6842,0.23
Alar del Rey (Palencia),5,928,0.54
Ampudia (Palencia),5,622,0.8
Amusco (Palencia),9,423,2.13
Antigüedad (Palencia),4,369,1.08
Astudillo (Palencia),6,1004,0.6
Autilla del Pino (Palencia),3,221,1.36
Autillo de Campos (Palencia),2,131,1.53
Ayuela (Palencia),1,52,1.92
Baltanás (Palencia),13,1216,1.07
Venta de Baños (Palencia),39,6363,0.61
Barruelo de Santullán (Palencia),3,1183,0.25
Báscones de Ojeda (Palencia),1,144,0.69
Becerril de Campos (Palencia),23,754,3.05
Berzosilla (Palencia),3,41,7.32
Boadilla del Camino (Palencia),3,115,2.61
Boadilla de Rioseco (Palencia),1,111,0.9
Brañosera (Palencia),4,246,1.63
Buenavista de Valdavia (Palencia),10,264,3.79
Bustillo de la Vega (Palencia),1,306,0.33
Calzada de los Molinos (Palencia),5,326,1.53
Capillas (Palencia),4,77,5.19
Carrión de los Condes (Palencia),29,2096,1.38
Castrejón de la Peña (Palencia),1,360,0.28
Castrillo de Don Juan (Palencia),2,220,0.91
Castrillo de Onielo (Palencia),1,101,0.99
Castrillo de Villavega (Palencia),4,183,2.19
Castromocho (Palencia),4,230,1.74
Cervatos de la Cueza (Palencia),2,262,0.76
Cervera de Pisuerga (Palencia),14,2316,0.6
Cevico de la Torre (Palencia),3,490,0.61
Cevico Navero (Palencia),1,198,0.51
Cisneros (Palencia),4,448,0.89
Cobos de Cerrato (Palencia),2,139,1.44
Congosto de Valdavia (Palencia),2,165,1.21
Cordovilla la Real (Palencia),4,93,4.3
Cubillas de Cerrato (Palencia),2,63,3.17
Dueñas (Palencia),46,2633,1.75
Frechilla (Palencia),4,153,2.61
Fresno del Río (Palencia),1,194,0.52
Frómista (Palencia),9,770,1.17
Fuentes de Nava (Palencia),5,659,0.76
Fuentes de Valdepero (Palencia),7,429,1.63
Grijota (Palencia),353,2269,15.56
Guardo (Palencia),12,6153,0.2
Guaza de Campos (Palencia),3,58,5.17
Herrera de Pisuerga (Palencia),10,2006,0.5
Herrera de Valdecañas (Palencia),2,146,1.37
Hornillos de Cerrato (Palencia),1,143,0.7
Husillos (Palencia),95,313,30.35
Itero de la Vega (Palencia),2,157,1.27
Lagartos (Palencia),1,136,0.74
Lantadilla (Palencia),4,291,1.37
Ledigos (Palencia),1,63,1.59
Lomas (Palencia),1,51,1.96
Magaz de Pisuerga (Palencia),12,993,1.21
Manquillos (Palencia),1,82,1.22
Marcilla de Campos (Palencia),7,41,17.07
Mazariegos (Palencia),2,217,0.92
Mazuecos de Valdeginate (Palencia),3,102,2.94
Melgar de Yuso (Palencia),3,259,1.16
Meneses de Campos (Palencia),2,122,1.64
Monzón de Campos (Palencia),15,610,2.46
Mudá (Palencia),1,82,1.22
Nogal de las Huertas (Palencia),2,46,4.35
Olmos de Ojeda (Palencia),1,198,0.51
Osornillo (Palencia),1,57,1.75
Palencia (Palencia),129,78629,0.16
Páramo de Boedo (Palencia),2,121,1.65
Paredes de Nava (Palencia),12,1930,0.62
Pedrosa de la Vega (Palencia),3,324,0.93
Perales (Palencia),14,90,15.56
Pino del Río (Palencia),1,179,0.56
Piña de Campos (Palencia),5,220,2.27
Población de Campos (Palencia),3,131,2.29
Pomar de Valdivia (Palencia),8,463,1.73
Poza de la Vega (Palencia),1,184,0.54
Pozo de Urama (Palencia),3,24,12.5
Quintana del Puente (Palencia),10,252,3.97
Quintanilla de Onsoña (Palencia),4,184,2.17
Reinoso de Cerrato (Palencia),6,53,11.32
Revenga de Campos (Palencia),3,151,1.99
Ribas de Campos (Palencia),5,146,3.42
Saldaña (Palencia),32,3004,1.07
Salinas de Pisuerga (Palencia),8,317,2.52
San Cebrián de Campos (Palencia),8,433,1.85
San Cristóbal de Boedo (Palencia),1,23,4.35
San Mamés de Campos (Palencia),3,51,5.88
Santervás de la Vega (Palencia),4,459,0.87
Santibáñez de la Peña (Palencia),9,1044,0.86
Santoyo (Palencia),1,197,0.51
Soto de Cerrato (Palencia),7,191,3.66
Tabanera de Cerrato (Palencia),1,137,0.73
Tabanera de Valdavia (Palencia),1,25,4
Tariego de Cerrato (Palencia),15,490,3.06
Torquemada (Palencia),10,968,1.03
Torremormojón (Palencia),1,45,2.22
Valbuena de Pisuerga (Palencia),2,47,4.26
Valdeolmillos (Palencia),1,61,1.64
Velilla del Río Carrión (Palencia),6,1299,0.46
Villada (Palencia),12,963,1.25
Villaeles de Valdavia (Palencia),2,58,3.45
Villaherreros (Palencia),2,193,1.04
Villalaco (Palencia),2,57,3.51
Villalba de Guardo (Palencia),1,196,0.51
Villalcázar de Sirga (Palencia),6,169,3.55
Villalobón (Palencia),52,1652,3.15
Villaluenga de la Vega (Palencia),6,589,1.02
Villamartín de Campos (Palencia),3,177,1.69
Villamediana (Palencia),3,175,1.71
Villameriel (Palencia),1,118,0.85
Villamoronta (Palencia),1,235,0.43
Villamuriel de Cerrato (Palencia),80,6503,1.23
Villanueva del Rebollar (Palencia),1,75,1.33
Villanuño de Valdavia (Palencia),5,90,5.56
Villaprovedo (Palencia),1,62,1.61
Villarmentero de Campos (Palencia),1,16,6.25
Villarrabé (Palencia),4,207,1.93
Villarramiel (Palencia),9,826,1.09
Villasarracino (Palencia),2,143,1.4
Villaturde (Palencia),2,155,1.29
Villaumbrales (Palencia),9,665,1.35
Villaviudas (Palencia),4,365,1.1
Villodrigo (Palencia),4,109,3.67
Villoldo (Palencia),5,369,1.36
Villota del Páramo (Palencia),3,327,0.92
Villovieco (Palencia),1,75,1.33
Osorno la Mayor (Palencia),15,1225,1.22
Loma de Ucieza (Palencia),2,198,1.01
Pernía, La (Palencia),2,320,0.63
Agaete (Palmas, Las),65,5573,1.17
Agüimes (Palmas, Las),101,31152,0.32
Antigua (Palmas, Las),1080,11948,9.04
Arrecife (Palmas, Las),168,61351,0.27
Artenara (Palmas, Las),5,1090,0.46
Arucas (Palmas, Las),187,37691,0.5
Betancuria (Palmas, Las),18,731,2.46
Firgas (Palmas, Las),97,7491,1.29
Gáldar (Palmas, Las),116,24209,0.48
Haría (Palmas, Las),116,4969,2.33
Ingenio (Palmas, Las),41,30831,0.13
Mogán (Palmas, Las),616,19657,3.13
Moya (Palmas, Las),56,7728,0.72
Oliva, La (Palmas, Las),1647,25884,6.36
Pájara (Palmas, Las),293,20539,1.43
Palmas de Gran Canaria, Las (Palmas, Las),665,378517,0.18
Puerto del Rosario (Palmas, Las),211,39382,0.54
San Bartolomé (Palmas, Las),334,18327,1.82
San Bartolomé de Tirajana (Palmas, Las),2125,53588,3.97
Aldea de San Nicolás, La (Palmas, Las),56,7608,0.74
Santa Brígida (Palmas, Las),323,18314,1.76
Santa Lucía de Tirajana (Palmas, Las),78,71863,0.11
Santa María de Guía de Gran Canaria (Palmas, Las),95,13924,0.68
